"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9070,"sub_1Nfj1uCpjOdJI4gTAsIK72NR","2023-08-16",,"2023-10-16 09:40:54.000","2023-11-16 09:40:54.000","2023-10-16 09:43:10.000","2023-10-16 10:47:04.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9137,"sub_1NfkQyCpjOdJI4gTZGQ4te0P","2023-08-16",,"2023-10-16 11:10:52.000","2023-11-16 11:10:52.000","2023-10-16 11:39:41.000","2023-09-16 12:16:50.000","complete","past_due","1","Cartão de Crédito","mastercard",89.9,,,,
9628,"sub_1NfrOpCpjOdJI4gTU9LcgFYH","2023-08-16",,"2023-08-16 18:37:07.000","2024-08-16 18:37:07.000","2023-08-16 18:37:07.000","2023-08-16 18:37:09.000","complete","active","12","Cartão de Crédito","visa",419.4,,"PREP50","dV87G5C6",
9653,"sub_1NfjC7CpjOdJI4gTYZWkdWj8","2023-08-16",,"2023-08-16 09:51:27.000","2024-08-16 09:51:27.000","2023-08-16 09:51:27.000","2023-08-16 09:51:29.000","complete","active","12","Cartão de Crédito","mastercard",419.4,,"PREP50","dV87G5C6",
9393,"sub_1NfoGmCpjOdJI4gTNV0jqF3i","2023-08-16","2023-10-16","2023-09-16 15:16:36.000","2023-10-16 15:16:36.000","2023-09-16 15:22:39.000","2023-09-16 16:23:02.000","complete","canceled","1","Cartão de Crédito","visa",62.93,,,,
9390,"sub_1Nfsq5CpjOdJI4gT4IzZvbuT","2023-08-16",,"2023-08-16 20:09:21.000","2024-08-16 20:09:21.000","2023-08-16 20:09:21.000","2023-08-16 20:09:23.000","complete","active","12","Cartão de Crédito","mastercard",587.16,,"CAPIM30","oUu4Feil",
9546,"sub_1Nfuc3CpjOdJI4gTfAC6JDE1","2023-08-16",,"2023-08-16 22:02:58.000","2024-08-16 22:02:58.000","2023-08-16 22:02:59.000","2023-08-16 22:03:13.000","complete","active","12","Cartão de Crédito","visa",419.4,,"PREP50","dV87G5C6",
9357,"sub_1NfqnqCpjOdJI4gTodg49ncS","2023-08-16",,"2023-10-16 17:58:54.000","2023-11-16 17:58:54.000","2023-10-16 18:08:19.000","2023-10-17 10:27:46.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9343,"sub_1NfityCpjOdJI4gT6LbLhh76","2023-08-16",,"2023-08-16 09:32:42.000","2024-02-16 09:32:42.000","2023-08-16 09:32:42.000","2023-08-16 11:45:35.000","complete","active","6","Boleto",,479.4,,,,
9256,"sub_1Ng3MpCpjOdJI4gT9z3KVu2Y","2023-08-17",,"2023-10-17 07:23:51.000","2023-11-17 07:23:51.000","2023-10-17 07:28:13.000","2023-10-20 08:32:22.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9713,"sub_1NgAf1CpjOdJI4gTbAQjBAVD","2023-08-17","2023-09-17","2023-08-17 15:11:07.000","2023-09-17 15:11:07.000","2023-08-17 15:11:07.000","2023-08-17 15:11:09.000","complete","canceled","1","Cartão de Crédito","visa",89.9,,,,
9169,"sub_1NgG0tCpjOdJI4gTvoO8OZfn","2023-08-17",,"2023-10-17 20:54:03.000","2023-11-17 20:54:03.000","2023-10-17 20:55:09.000","2023-10-17 21:57:15.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9121,"sub_1NgHdACpjOdJI4gT99Y33Gsz","2023-08-17","2023-10-17","2023-09-17 22:37:40.000","2023-10-17 22:37:40.000","2023-09-17 22:39:00.000","2023-09-17 23:39:32.000","complete","canceled","1","Cartão de Crédito","mastercard",89.9,,,,
9726,"sub_1NgF8DCpjOdJI4gTlgCNc1q5","2023-08-17",,"2023-08-17 19:57:33.000","2024-08-17 19:57:33.000","2023-08-17 19:57:33.000","2023-08-18 04:13:50.000","complete","active","12","Boleto",,419.4,,"PREP50","dV87G5C6",
