"CLINIC_ID","CLINIC_CREATED_AT","BUSINESS_SEGMENTATION","IS_CHAIN_CLINIC","FIRST_USER_HUBSPOT_SOURCE","INTEREST_REASONS","INTEREST_CATEGORY_SIGNUP","HAS_INTEREST_BNPL","HAS_INTEREST_BNPL_ONLY","HAS_INTEREST_SAAS","TRIAL_DURATION","TRIAL_START_DATE","TRIAL_END_DATE","TRIAL_START_HOUR","TRIAL_START_HOUR_CATEGORY","TRIAL_START_DAY_OF_WEEK","TRIAL_START_DAY_OF_WEEK_CATEGORY","HAS_USER_CREATED","MARKETING_ATTRIBUITION","MARKETING_ATTRIBUITION_CHANNEL_GROUP","MARKETING_ATTRIBUITION_CAMPAIGN","MARKETING_ATTRIBUITION_CAMPAIGN_PRODUCT","MARKETING_ATTRIBUITION_AD_GROUP","IS_PAID_MEDIUM","HAS_ASKED_FOR_ACCREDITATION","HAS_STARTED_ACCREDITATION_AND_NOT_FINISHED","IS_ACCREDITATION_APPROVED","IS_ACCREDITATION_REPROVED","CLINIC_ACCREDITATION_STATUS","REQUEST_FINISHED_AT","ACCREDITATION_REQUESTED_AT","ACCREDITATION_APPROVED_AT","ACCREDITATION_REJECTED_AT"
"9498","2023-08-12 05:02:32.173","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","5","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","base-fria-55k-1",true,false,false,false,false,,,,,
"9499","2023-08-12 06:43:12.132","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-12","2023-08-19","6","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9500","2023-08-12 07:31:32.622","Independente",false,"Inbound","[""patients_management"", ""calendar"", ""bnpl"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","7","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_agenda","SaaS","lal-all-1",true,false,false,false,false,,,,,
"9501","2023-08-12 08:59:34.262","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-12","2023-08-19","8","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9502","2023-08-12 10:29:12.645","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-12","2023-08-19","10","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9503","2023-08-12 10:35:56.111","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-12","2023-08-19","10","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9504","2023-08-12 11:19:12.111","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""finance_management"", ""patients_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","11","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL",,true,false,false,false,false,,,,,
"9505","2023-08-12 11:28:48.243","Independente",false,"Inbound","[""calendar"", ""patients_management"", ""finance_management"", ""bnpl""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","11","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9506","2023-08-12 11:40:52.937","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","11","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9507","2023-08-12 11:56:46.443","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-19","11","After Hours","6","Weekend",true,"Paid - meta","Paid - meta","meta_signup_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
"9508","2023-08-12 12:43:45.000","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-12","2023-08-18","12","After Hours","6","Weekend",true,"Other","Other",,"None",,false,true,false,true,false,"Concluído","2023-08-18 12:09:18.285","2023-08-18 12:09:18.286","2023-08-18 13:13:18.041",
"9509","2023-08-12 14:46:14.712","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-12","2023-08-19","14","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9510","2023-08-12 16:28:42.707","Independente",false,"Inbound","[""bnpl"", ""calendar"", ""patients_management"", ""finance_management""]","BNPL e SaaS",true,false,true,"7","2023-08-12","2023-08-14","16","After Hours","6","Weekend",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,true,false,true,false,"Concluído","2023-08-12 17:30:47.699","2023-08-12 17:30:47.699","2023-08-14 12:53:45.413",
